Clave de municipio,Clave de localidad,Nombre de la localidad
34,159,Llanos de Teopa (Valle Escondido)
34,9999,Localidades de dos viviendas
34,9998,Localidades de una vivienda
34,160,Loma de Enmedio
34,314,Los Aztecas [Rancho]
34,10,Los Capulines
34,18,Los Charcos
34,210,Los Laureles
34,440,Los Pacher [Rancho]
34,416,Los Pinos (Israel Olvera de Jesús)
34,373,Los Polos
34,292,Los Serrano [Rancho]
34,88,Los Teteles
34,420,Los Tres Compadres [Rancho]
34,117,Maguey Cenizo
34,38,Mariano Matamoros
34,94,Máximo Rojas Xalóstoc
34,40,Mazaquiáhuac
34,370,Metla (los Pinos)
34,158,NCPE la Herradura
34,214,Nuevo Quintanilla
34,44,Ojo de Agua
34,270,Ojo de Agua
34,372,Piedra Blanca
34,299,Rancho Campo David
34,167,Rancho de la Providencia
34,419,Rancho de los Domínguez
34,54,Rancho Nuevo
34,296,Rancho Seco el Viejo
34,380,Rancho Tablón de Guadalupe Payuca
34,90,Rancho Toltecapa
34,60,San Agustín [Rancho]
34,19,San Antonio Chapultepec
34,26,San Antonio Huexotitla
34,155,San Baltazar
34,113,San Diego Quintanilla
34,6,San José Atotonilco
34,71,San José de las Delicias [Rancho Cinegético]
34,386,San José el Escombro
34,86,San José Tepeyahualco
34,169,San Juan
34,72,San Lorenzo Soltepec
34,170,San Martín [Rancho]
34,77,San Pedro la Cueva
34,173,San Ricardo
34,174,Santa Cruz [Rancho]
34,387,Santa Cruz Rancho Seco
34,434,Santa Elena
34,78,Santa Fe
34,435,Santa María de Guadalupe
34,80,Santa María Zotoluca
34,79,Santa Rosa [Rancho]
34,100,Santa Rosa de Lima
34,84,Tecomalucan
34,89,Tetzitzilica
34,392,Tierra Nueva
34,138,Titichilco
34,307,Tlaquexpa
34,1,Tlaxco
34,101,Unión Ejidal Tierra y Libertad
34,180,Zacatonal (Colonia Iturbide)
35,5,Santa Cruz [Rancho]
35,1,Tocatlán
35,3,Acocotla
35,4,La Cañada
35,9998,Localidades de una vivienda
35,9999,Localidades de dos viviendas
36,1,San Juan Totolac
36,2,Acxotla del Río
36,3,La Candelaria Teotlalpan
36,5,Los Reyes Quiahuixtlán
36,6,San Francisco Ocotelulco
36,7,San Miguel Tlamahuco
36,8,Santiago Tepeticpac
36,9,La Trinidad Chimalpa
36,10,Cerro del Metecatzi
36,13,Zaragoza
37,23,Julián de la Cruz Ramírez (Rancho la Loma)
37,24,Rancho Guadalupe (Ejido del Rincón Zitlaltepec)
37,13,San Bernardino [Rancho]
37,1,Zitlaltépec
37,2,Colonia Francisco Javier Mina
37,4,San Juan Bautista Mier
37,5,Ex-Hacienda San Juan Bautista
37,16,Guadalupe los Capulines
37,19,Barranca de San Nicolás
37,9998,Localidades de una vivienda
37,9999,Localidades de dos viviendas
38,21,La Providencia las Huertas [Rancho]
38,28,Mazapa (Rancho los Juanes)
38,26,Rancho Cruztitla (Coyoeca)
38,1,Tzompantepec
38,2,San Andrés Ahuashuatepec
38,4,San Juan Quetzalcoapan
38,5,San Mateo Inophil
38,6,Xaltianquisco
38,14,Rancho Amoltepec
38,30,Cuayecatl
38,31,Lucas Flores
38,32,Fraccionamiento el Divino Salvador
38,9998,Localidades de una vivienda
38,9999,Localidades de dos viviendas
39,27,Celino Sánchez Conde
39,8,Colonia José López Portillo
39,5,Colonia Velazco
39,6,Colonia Venustiano Carranza
39,14,El Jagüey Prieto
39,33,El Señor de Chalma [Rancho]
39,35,FDX [Rancho]
39,26,Florencia Sánchez Nava
39,3,Guadalupe Texmolac
39,34,La Candelaria
39,11,La Colmena
39,24,Las Brisas
39,9999,Localidades de dos viviendas
39,9998,Localidades de una vivienda
39,12,Los Corrales
39,19,Nicolás Bravo [Granja Avícola]
39,30,Rancho José Pilar
39,31,Rancho R77
39,25,San Fernando [Rancho]
39,32,San Juan [Rancho]
39,2,San Pedro Tlacotepec
39,7,Santa Cruz Zacatzontetla
39,1,Xaloztoc
40,20,Agua Bendita
40,18,Atzacoalco
40,53,Cañada de Chipila
40,36,Cinco Santos
40,16,Cuatla
40,4,La Ascensión Huitzcolotepec
40,7,La Retama
40,62,La Tabla
40,6,Las Mesas [Colonia]
40,9999,Localidades de dos viviendas
40,9998,Localidades de una vivienda
40,61,Los Arrieta [Rancho]
40,57,María Eugenia García (El Cerro)
40,44,Nueva Ampliación Adolfo Ruiz Cortínez
40,45,Nueva Ampliación Camino a Xaltocan
40,48,Rancho Alva
40,49,Rancho Zárate
40,51,Rubén Sánchez
40,58,San Isidro
40,14,San José Texopa
40,55,San Pedro
40,10,San Simón Tlatlahuquitepec
40,11,Santa Bárbara Acuicuizcatepec
40,13,Topilco de Juárez
40,39,Valentín Flores Hernández
40,1,Xaltocan
40,59,Zozoquítla
41,1,Papalotla
41,4,San Marcos Contla
41,14,El Piecito
41,15,San Diego Buenavista
41,16,Tepizila
41,17,Xaltonac
41,18,Copachigia
41,19,Zacatecoma
41,9998,Localidades de una vivienda
41,9999,Localidades de dos viviendas
42,1,Xicohtzinco
43,9,Barrio de Atencingo
43,17,Chimalpa
43,19,Cuarta Sección
43,23,El Llano
43,26,El Llano Dos
43,2,El Rosario Ocotoxco
43,11,Hualcaltzinco
43,21,La Soledad (El Charco) [Rancho]
43,27,Las Rocas [Rancho]
43,9999,Localidades de dos viviendas
43,9998,Localidades de una vivienda
43,3,San Benito Xaltocan
43,1,San Dionisio Yauhquemehcan
43,4,San Francisco Tlacuilohcan
43,12,San José Tepoxtla
43,8,San José Tetel
43,5,San Lorenzo Tlacualoyan
43,6,Santa María Atlihuetzian
43,7,Santa Úrsula Zimatepec
43,22,Serafín Sánchez García
43,24,Tepetexco
43,20,Tlatelpa
44,1,Zacatelco
44,7,Domingo Arenas
44,8,Campo Dolores
44,18,Tlatelpa
44,9998,Localidades de una vivienda
45,11,Los Carlos [Rancho]
45,12,Rancho Alegre (La Alborada)
45,1,Benito Juárez
45,4,Jagüey de Novillos
45,6,Ampliación los Pinos
45,10,Cinco Hilos
45,9998,Localidades de una vivienda
46,2,Ahilitla
46,7,Colonia Gustavo Díaz Ordaz
46,5,El Capulitic
46,6,El Ciprés
46,15,El Epazote [Rancho]
46,31,El Tejocote
46,1,Emiliano Zapata
46,28,Fracción el Durazno
46,32,La Loma
46,30,La Mancera
46,35,La Venta
46,17,Las Palomas [Rancho]
46,9999,Localidades de dos viviendas
46,9998,Localidades de una vivienda
46,10,Loma de Vacas
46,9,Los Encinos
46,13,Rancho Coamila
46,14,Rancho Cruz Verde
46,16,Rancho Guardamonte
46,18,Rancho Ojo de Agua
46,20,Rancho Tres Ríos
46,21,Rancho Vista Hermosa
46,37,San Isidro [Rancho]
46,19,San Nicolás [Rancho]
46,22,Tecoaquillo
46,23,Tipitzila
46,24,Tlaximaloya (La Amapola)
47,7,La Mancera [Rancho]
47,1,Lázaro Cárdenas
47,6,Rancho Atlixtaca
47,8,Rancho Maribel
47,9,San José de la Laguna
47,10,El Palomar
47,13,Víctor Carmona
47,9998,Localidades de una vivienda
47,9999,Localidades de dos viviendas
48,1,La Magdalena Tlaltelulco
49,1,San Damián Texóloc
49,4,Luis Echeverría Álvarez
49,6,Tlaxala
49,9999,Localidades de dos viviendas
50,11,San Miguel [Rancho]
50,1,San Francisco Tetlanohcan
50,3,Achichihualoya
50,9,Elizabeth Pacheco Romero
50,9998,Localidades de una vivienda
50,9999,Localidades de dos viviendas
51,2,La Herradura [Rancho]
51,1,San Jerónimo Zacualpan
51,6,Una Flor en el Pantano
51,9998,Localidades de una vivienda
52,15,Altos de Mesa
52,11,Colonia Ecológica
52,16,Dolores
52,14,El Durazno
52,6,El Encinal Dos de Mayo
52,17,El Santuario
52,18,El Tecolote [Rancho]
52,7,Ex-Rancho San Nicolás Cuatlapanga
52,19,La Concepción
52,9998,Localidades de una vivienda
52,1,San José Teacalco
52,12,San Luis
52,13,San Pedro Mártir
52,8,San Rafael [Rancho]
52,20,Yolican Malintzi
53,1,San Juan Huactzinco
53,7,Milpa Alta
53,9999,Localidades de dos viviendas
54,1,San Lorenzo Axocomanitla
54,2,El Rancho
54,9998,Localidades de una vivienda
55,16,Maximino (El Llano)
55,1,San Lucas Tecopilco
55,2,Las Cañadas
55,6,San José Rosastitla
55,8,Loma Bonita
55,9,Tlaxcantitla
55,10,Toltecapa
55,11,Xilomantla
55,13,El Llano
55,14,Cauatla
55,15,Las Cañadas
55,18,El Ranchito
55,19,Los Álamos
55,23,El Tejocote
55,25,Los Magueyales
55,9998,Localidades de una vivienda
55,9999,Localidades de dos viviendas
56,4,San Ignacio [Rancho]
56,1,Santa Ana Nopalucan
56,9998,Localidades de una vivienda
57,11,La Besana del Puente (Acuilco)
57,1,Santa Apolonia Teacalco
57,13,La Capilla
57,9998,Localidades de una vivienda
58,1,Santa Catarina Ayometla
58,2,Palula
59,5,Chimalpa [Rancho]
59,4,Schneider Electric México [Fábrica]
59,1,Santa Cruz Quilehtla
59,2,Ayometitla
59,3,Potrero
59,9998,Localidades de una vivienda
60,1,Santa Isabel Xiloxoxtla
